"","nr","lwage","year","ethnicity","union","educ"
"745",1576,1.3247013092041,1980,0,0,11
"746",1576,1.34707367420197,1981,0,0,11
"753",1628,1.17647290229797,1980,0,0,12
"754",1628,1.32425892353058,1981,0,0,12
"761",1641,2.11169052124023,1980,2,0,12
"762",1641,2.17055225372314,1981,2,0,12
"769",1644,0.560979187488556,1980,2,1,12
"770",1644,1.54636526107788,1981,2,0,12
"777",1653,-0.38458189368248,1980,0,1,15
"778",1653,1.88607013225555,1981,0,1,15
"785",1654,1.62484169006348,1980,0,0,11
"786",1654,1.61687290668488,1981,0,0,11
"793",1721,1.7844717502594,1980,2,0,11
"794",1721,1.93486034870148,1981,2,1,11
"801",1742,1.46162474155426,1980,0,1,12
"802",1742,1.68290507793427,1981,0,1,12
"809",1744,1.63032114505768,1980,0,1,11
"810",1744,1.6835458278656,1981,0,1,11
"817",1763,0.64350026845932,1980,2,0,11
"818",1763,0.897941589355469,1981,2,0,11
"825",1777,1.38938808441162,1980,0,0,15
"826",1777,1.24171316623688,1981,0,0,15
"833",1843,2.36429023742676,1980,0,0,15
"834",1843,2.33761811256409,1981,0,0,15
"841",1891,0.937173962593079,1980,0,1,12
"842",1891,1.01883041858673,1981,0,0,12
"849",1895,1.65445625782013,1980,0,0,13
"850",1895,1.58954775333405,1981,0,0,13
"857",1899,1.44799959659576,1980,0,0,12
"858",1899,1.24171316623688,1981,0,0,12
"865",1925,1.00599110126495,1980,0,0,11
"866",1925,1.63740956783295,1981,0,0,11
"873",1930,1.07400751113892,1980,0,0,11
"874",1930,0.966762006282806,1981,0,0,11
"881",1961,1.16601550579071,1980,0,0,12
"882",1961,1.86202871799469,1981,0,0,12
"889",1963,1.50862419605255,1980,0,0,11
"890",1963,1.50613832473755,1981,0,0,11
"897",1979,2.02354168891907,1980,0,1,12
"898",1979,2.00429368019104,1981,0,1,12
"905",1988,-0.247380778193474,1980,0,0,12
"906",1988,2.28353691101074,1981,0,0,12
"913",2000,1.90495550632477,1980,0,1,11
"914",2000,1.87926232814789,1981,0,0,11
"921",2014,2.35905933380127,1980,0,1,12
"922",2014,1.92309546470642,1981,0,0,12
"929",2025,1.4838924407959,1980,0,0,13
"930",2025,1.23398864269257,1981,0,0,13
"937",2038,0.89439582824707,1980,0,0,10
"938",2038,1.04334962368011,1981,0,0,10
"945",2075,2.00568032264709,1980,0,1,12
"946",2075,1.75999653339386,1981,0,1,12
"953",2101,2.00761532783508,1980,0,0,12
"954",2101,2.26336431503296,1981,0,0,12
"961",2106,1.67656648159027,1980,0,1,12
"962",2106,1.57243430614471,1981,0,1,12
"969",2107,1.29659986495972,1980,0,0,10
"970",2107,1.61465990543365,1981,0,0,10
"977",2108,1.46741759777069,1980,0,0,12
"978",2108,1.9616584777832,1981,0,1,12
"985",2147,-0.0210809875279665,1980,0,0,11
"986",2147,-0.148845627903938,1981,0,0,11
"993",2157,1.46208429336548,1980,0,0,11
"994",2157,0.326793193817139,1981,0,0,11
"1001",2163,2.16826701164246,1980,0,1,12
"1002",2163,2.4831690788269,1981,0,1,12
"1009",2173,1.34263908863068,1980,0,0,12
"1010",2173,1.29578030109406,1981,0,0,12
"1017",2180,1.18870425224304,1980,0,0,10
"1018",2180,1.48573935031891,1981,0,0,10
"1025",2183,1.38737499713898,1980,0,0,13
"1026",2183,1.46485662460327,1981,0,0,13
"1033",2216,1.64645051956177,1980,0,0,12
"1034",2216,1.09486925601959,1981,0,0,12
"1041",2220,1.95722389221191,1980,0,1,14
"1042",2220,1.72746515274048,1981,0,1,14
"1049",2227,1.0913245677948,1980,0,0,12
"1050",2227,1.44571781158447,1981,0,0,12
"1057",2264,1.05643737316132,1980,1,0,12
"1058",2264,1.02961945533752,1981,1,0,12
"1065",2306,1.64973926544189,1980,0,0,9
"1066",2306,-0.405465096235275,1981,0,0,9
"1073",2312,1.63738167285919,1980,0,0,13
"1074",2312,1.71943879127502,1981,0,0,13
"1081",2314,2.03578615188599,1980,0,0,12
"1082",2314,1.92938089370728,1981,0,0,12
"1089",2329,1.37909841537476,1980,0,0,14
"1090",2329,1.76317203044891,1981,0,0,14
"1097",2335,1.56788814067841,1980,0,0,12
"1098",2335,1.53905713558197,1981,0,0,12
"1105",2341,0.90204119682312,1980,0,0,11
"1106",2341,1.07880961894989,1981,0,1,11
"1113",2351,1.22485601902008,1980,1,0,11
"1114",2351,0.934639871120453,1981,1,0,11
"1121",2386,1.19726800918579,1980,2,1,10
"1122",2386,0.629585683345795,1981,2,1,10
"1129",2401,1.18669009208679,1980,0,1,12
"1130",2401,1.3062516450882,1981,0,1,12
"1137",2413,2.18573904037476,1980,0,1,12
"1138",2413,2.19001650810242,1981,0,1,12
"1145",2421,1.37873959541321,1980,0,0,12
"1146",2421,1.04982209205627,1981,0,0,12
"1153",2445,1.46252763271332,1980,0,1,12
"1154",2445,1.54750692844391,1981,0,0,12
"1161",2451,1.60215020179749,1980,0,0,12
"1162",2451,1.63475573062897,1981,0,0,12
"1169",2494,0.339826077222824,1980,0,0,13
"1170",2494,0.71219539642334,1981,0,0,13
"1177",2508,1.91800320148468,1980,0,0,13
"1178",2508,1.84784889221191,1981,0,0,13
"1185",2535,1.71122622489929,1980,0,1,12
"1186",2535,1.65559363365173,1981,0,1,12
"1193",2540,0.948640525341034,1980,0,0,10
"1194",2540,1.06738615036011,1981,0,0,10
"1201",2685,1.84004163742065,1980,0,0,13
"1202",2685,1.79814922809601,1981,0,0,13
"1209",2711,1.2193865776062,1980,0,1,12
"1210",2711,1.2951887845993,1981,0,0,12
"1217",2718,2.14114665985107,1980,1,1,11
"1218",2718,2.15615653991699,1981,1,1,11
"1225",2721,1.54330968856812,1980,0,0,9
"1226",2721,1.56218504905701,1981,0,0,9
"1233",2733,0.754852414131165,1980,1,0,12
"1234",2733,1.08866190910339,1981,1,0,12
"1241",2741,1.44799959659576,1980,0,0,12
"1242",2741,1.34707367420197,1981,0,0,12
"1249",2745,1.78832542896271,1980,0,0,12
"1250",2745,1.6835458278656,1981,0,1,12
"1257",2751,1.60215020179749,1980,1,1,12
"1258",2751,1.57021725177765,1981,1,0,12
"1265",2774,1.97862780094147,1980,0,0,14
"1266",2774,2.1490752696991,1981,0,0,14
"1273",2801,1.10954511165619,1980,0,1,10
"1274",2801,1.28193438053131,1981,0,0,10
"1281",2813,0.624082148075104,1980,0,0,13
"1282",2813,1.26155149936676,1981,0,0,13
"1289",2833,1.89133489131927,1980,0,0,12
"1290",2833,1.78890645503998,1981,0,0,12
"1297",2839,1.55487895011902,1980,0,0,13
"1298",2839,1.64717829227448,1981,0,0,13
"1305",2842,1.47925209999084,1980,0,0,13
"1306",2842,1.82571172714233,1981,0,0,13
"1313",2866,1.33685028553009,1980,0,0,9
"1314",2866,1.49437880516052,1981,0,1,9
"1321",2868,2.29360198974609,1980,0,1,13
"1322",2868,1.56573665142059,1981,0,0,13
"1329",2874,0.37893271446228,1980,2,0,9
"1330",2874,1.07513988018036,1981,2,0,9
"1337",2916,1.18403398990631,1980,0,0,12
"1338",2916,1.71866393089294,1981,0,0,12
"1345",2951,1.1627242565155,1980,1,0,9
"1346",2951,1.20397281646729,1981,1,0,9
"1353",2980,1.66656124591827,1980,0,0,15
"1354",2980,1.33750414848328,1981,0,0,15
"1361",2994,1.30489873886108,1980,0,0,12
"1362",2994,1.31656098365784,1981,0,0,12
"1369",2997,1.40020895004272,1980,0,0,12
"1370",2997,1.62593221664429,1981,0,0,12
"1377",3017,1.45810282230377,1980,0,1,14
"1378",3017,1.76007914543152,1981,0,1,14
"1385",3037,2.0685760974884,1980,0,1,12
"1386",3037,2.15800380706787,1981,0,1,12
"1393",3059,1.86393594741821,1980,0,1,12
"1394",3059,1.61710608005524,1981,0,1,12
"1401",3062,2.14114665985107,1980,0,0,15
"1402",3062,2.2014889717102,1981,0,0,15
"1409",3100,1.51565825939178,1980,0,0,12
"1410",3100,1.29376697540283,1981,0,0,12
"1417",3102,0.591132283210754,1980,0,0,12
"1418",3102,0.688989162445068,1981,0,0,12
"1425",3127,0.483651548624039,1980,0,0,10
"1426",3127,0.0304592084139585,1981,0,0,10
"1433",3136,1.63032114505768,1980,0,1,12
"1434",3136,1.93486034870148,1981,0,1,12
"1441",3137,1.97824323177338,1980,0,0,14
"1442",3137,1.74380993843079,1981,0,0,14
"1449",3138,1.60273313522339,1980,0,1,12
"1450",3138,2.19940090179443,1981,0,1,12
"1457",3140,1.74022126197815,1980,0,0,13
"1458",3140,1.85375785827637,1981,0,0,13
"1465",3193,0.916347324848175,1980,0,0,11
"1466",3193,1.44923412799835,1981,0,0,11
"1473",3196,1.97862780094147,1980,0,1,12
"1474",3196,1.93486034870148,1981,0,1,12
"1481",3200,1.49635279178619,1980,0,1,8
"1482",3200,1.77806067466736,1981,0,1,8
"1489",3202,1.79099357128143,1980,0,1,12
"1490",3202,1.84710955619812,1981,0,1,12
"1497",3207,1.6960437297821,1980,0,0,12
"1498",3207,1.58609056472778,1981,0,0,12
"1505",3208,1.87634897232056,1980,0,1,12
"1506",3208,1.8205019235611,1981,0,1,12
"1513",3210,1.64685046672821,1980,0,1,10
"1514",3210,1.8191773891449,1981,0,1,10
"1521",3215,1.64171433448792,1980,0,0,12
"1522",3215,1.57373344898224,1981,0,1,12
"1529",3219,1.32016623020172,1980,0,0,11
"1530",3219,0.699857294559479,1981,0,1,11
"1537",3226,1.2069183588028,1980,0,0,13
"1538",3226,1.44345271587372,1981,0,0,13
"1545",3235,1.23323082923889,1980,0,0,12
"1546",3235,1.31519842147827,1981,0,0,12
"1553",3239,1.20828533172607,1980,1,0,11
"1554",3239,1.25526607036591,1981,1,0,11
"1561",3271,1.63804316520691,1980,0,1,7
"1562",3271,1.10614061355591,1981,0,1,7
"1569",3275,1.39191007614136,1980,0,0,12
"1570",3275,1.82015895843506,1981,0,0,12
"1577",3282,1.35838735103607,1980,2,0,10
"1578",3282,1.37663245201111,1981,2,0,10
"1585",3289,1.23192322254181,1980,0,0,15
"1586",3289,1.1752233505249,1981,0,1,15
"1593",3290,1.23807621002197,1980,0,0,12
"1594",3290,1.30648839473724,1981,0,0,12
"1601",3307,1.97389543056488,1980,1,1,14
"1602",3307,2.39099597930908,1981,1,1,14
"1609",3333,0.520236432552338,1980,0,0,12
"1610",3333,0.0578495338559151,1981,0,0,12
"1617",3353,1.3561919927597,1980,0,0,10
"1618",3353,1.08091270923615,1981,0,0,10
"1625",3380,1.45141077041626,1980,0,0,12
"1626",3380,1.42148983478546,1981,0,0,12
"1633",3381,1.22712099552155,1980,0,0,10
"1634",3381,1.52939522266388,1981,0,0,10
"1641",3389,1.57211267948151,1980,0,0,12
"1642",3389,2.21781992912292,1981,0,0,12
"1649",3394,1.9343581199646,1980,1,0,15
"1650",3394,2.04022073745728,1981,1,0,15
"1657",3401,1.18012011051178,1980,0,0,11
"1658",3401,0.952349781990051,1981,0,0,11
"1665",3414,1.33784282207489,1980,0,0,16
"1666",3414,2.20822238922119,1981,0,0,16
"1673",3420,2.12209844589233,1980,0,0,13
"1674",3420,0.653926491737366,1981,0,0,13
"1681",3440,0.256118804216385,1980,0,0,11
"1682",3440,-1.25988042354584,1981,0,0,11
"1689",3461,1.19082629680634,1980,0,0,11
"1690",3461,1.57288026809692,1981,0,0,11
"1697",3468,1.60188317298889,1980,0,0,14
"1698",3468,1.37664711475372,1981,0,0,14
"1705",3482,2.13071179389954,1980,0,0,13
"1706",3482,2.00248050689697,1981,0,0,13
"1713",3495,1.67911124229431,1980,0,1,12
"1714",3495,1.53471434116364,1981,0,1,12
"1721",3503,2.16583943367004,1980,0,1,12
"1722",3503,2.0890109539032,1981,0,1,12
"1729",3525,0.931846261024475,1980,0,1,14
"1730",3525,1.95848894119263,1981,0,0,14
"1737",3526,1.71036386489868,1980,0,0,12
"1738",3526,1.60943794250488,1981,0,0,12
"1745",3538,2.06318521499634,1980,1,1,12
"1746",3538,2.04022073745728,1981,1,1,12
"1753",3563,1.67114317417145,1980,0,1,11
"1754",3563,1.60943794250488,1981,0,1,11
"1761",3575,1.96430778503418,1980,0,0,12
"1762",3575,2.06491351127625,1981,0,0,12
"1769",3580,1.44320344924927,1980,0,0,12
"1770",3580,1.41716599464417,1981,0,0,12
"1777",3581,1.12632346153259,1980,0,0,14
"1778",3581,0.230986729264259,1981,0,0,14
"1785",3589,1.67114317417145,1980,0,1,12
"1786",3589,2.02495336532593,1981,0,1,12
"1793",3591,1.11888027191162,1980,0,0,12
"1794",3591,1.83923995494843,1981,0,0,12
"1801",3598,1.76699757575989,1980,0,0,12
"1802",3598,1.80129718780518,1981,0,0,12
"1809",3602,2.01024127006531,1980,0,1,12
"1810",3602,2.072185754776,1981,0,1,12
"1817",3607,0.907241821289062,1980,0,0,10
"1818",3607,0.0747235491871834,1981,0,0,10
"1825",3621,1.50849771499634,1980,0,0,12
"1826",3621,1.83160543441772,1981,0,1,12
"1833",3628,1.84221601486206,1980,0,0,14
"1834",3628,1.73618960380554,1981,0,0,14
"1841",3653,1.67064595222473,1980,0,0,12
"1842",3653,1.93927705287933,1981,0,0,12
"1849",3706,1.67441082000732,1980,0,0,13
"1850",3706,1.7917594909668,1981,0,0,13
"1857",3707,-1.10304689407349,1980,0,0,13
"1858",3707,1.86382627487183,1981,0,0,13
"1865",3708,1.68052506446838,1980,0,0,12
"1866",3708,1.70322895050049,1981,0,0,12
"1873",3743,1.25610852241516,1980,0,0,11
"1874",3743,1.71653604507446,1981,0,0,11
"1881",3777,1.94877481460571,1980,0,1,12
"1882",3777,2.04022073745728,1981,0,1,12
"1889",3831,1.17312407493591,1980,0,0,11
"1890",3831,1.31888163089752,1981,0,0,11
"1897",3844,1.44041621685028,1980,0,0,11
"1898",3844,1.41394591331482,1981,0,0,11
"1905",3847,2.24936032295227,1980,0,1,12
"1906",3847,2.35974359512329,1981,0,1,12
"1913",3848,1.99804592132568,1980,0,0,12
"1914",3848,1.89315962791443,1981,0,0,12
"1921",3882,0.594539403915405,1980,0,1,15
"1922",3882,0.546164989471436,1981,0,0,15
"1929",3937,1.44799959659576,1980,1,0,11
"1930",3937,1.32802546024323,1981,1,1,11
"1937",4000,1.61127293109894,1980,0,0,7
"1938",4000,1.75253880023956,1981,0,0,7
"1945",4004,2.00761532783508,1980,0,0,12
"1946",4004,2.17998266220093,1981,0,0,12
"1953",4025,0.85686731338501,1980,0,0,9
"1954",4025,1.33250415325165,1981,0,0,9
"1961",4032,1.31494903564453,1980,0,1,11
"1962",4032,1.19417285919189,1981,0,0,11
"1969",4046,1.43843007087708,1980,0,0,9
"1970",4046,1.54170846939087,1981,0,0,9
"1977",4088,2.20425033569336,1980,0,0,13
"1978",4088,2.41165614128113,1981,0,0,13
"1985",4091,2.56413412094116,1980,0,1,12
"1986",4091,2.51022434234619,1981,0,1,12
"1993",4122,1.77717244625092,1980,0,0,16
"1994",4122,1.89711999893188,1981,0,0,16
"2001",4127,1.1713672876358,1980,0,0,10
"2002",4127,1.84305274486542,1981,0,0,10
"2009",4128,0.993331909179688,1980,0,1,12
"2010",4128,0.984668016433716,1981,0,1,12
"2017",4159,1.68045830726624,1980,0,1,11
"2018",4159,2.29000639915466,1981,0,1,11
"2025",4204,1.19579517841339,1980,1,1,11
"2026",4204,1.39735531806946,1981,1,0,11
"2033",4229,1.45948350429535,1980,0,0,12
"2034",4229,1.59290862083435,1981,0,0,12
"2041",4258,2.11740446090698,1980,0,1,12
"2042",4258,2.26719260215759,1981,0,1,12
"2049",4261,1.85415172576904,1980,0,0,6
"2050",4261,1.80512964725494,1981,0,0,6
"2057",4264,1.22939121723175,1980,2,0,10
"2058",4264,1.41834092140198,1981,2,0,10
"2065",4278,1.80224776268005,1980,0,0,12
"2066",4278,1.78532862663269,1981,0,0,12
"2073",4297,2.11270880699158,1980,0,1,12
"2074",4297,2.2292537689209,1981,0,0,12
"2081",4302,1.06195259094238,1980,0,0,11
"2082",4302,1.01682281494141,1981,0,0,11
"2089",4321,1.72129285335541,1980,2,0,11
"2090",4321,1.98160934448242,1981,2,1,11
"2097",4328,1.74211251735687,1980,0,0,12
"2098",4328,1.36041271686554,1981,0,0,12
"2105",4332,0.406412601470947,1980,0,0,12
"2106",4332,0.0408219955861568,1981,0,0,12
"2113",4335,1.54330968856812,1980,0,0,11
"2114",4335,1.6835458278656,1981,0,0,11
"2121",4357,2.14114665985107,1980,0,1,12
"2122",4357,2.06417417526245,1981,0,1,12
"2129",4365,-0.0352062545716763,1980,0,0,11
"2130",4365,0.283524066209793,1981,0,0,11
"2137",4380,1.8109050989151,1980,0,1,13
"2138",4380,1.95138967037201,1981,0,1,13
"2145",4394,1.63032114505768,1980,0,0,11
"2146",4394,2.0890109539032,1981,0,1,11
"2153",4510,1.30489873886108,1980,0,0,13
"2154",4510,1.63049137592316,1981,0,1,13
"2161",4559,1.32382678985596,1980,0,0,12
"2162",4559,1.45083284378052,1981,0,0,12
"2169",4563,0.890583992004395,1980,0,1,11
"2170",4563,0.927062809467316,1981,0,0,11
"2177",4569,2.26701951026917,1980,0,1,12
"2178",4569,2.12520503997803,1981,0,1,12
"2185",4603,2.05520439147949,1980,0,1,11
"2186",4603,1.99786150455475,1981,0,1,11
"2193",4607,-0.696018040180206,1980,0,0,13
"2194",4607,1.71897375583649,1981,0,0,13
"2201",4633,1.75946652889252,1980,0,0,12
"2202",4633,1.42333567142487,1981,0,0,12
"2209",4676,0.636215031147003,1980,0,0,10
"2210",4676,0.862021088600159,1981,0,0,10
"2217",4701,1.59567201137543,1980,0,0,12
"2218",4701,1.79305064678192,1981,0,0,12
"2225",4716,0.94170343875885,1980,0,0,12
"2226",4716,1.24319350719452,1981,0,1,12
"2233",4720,2.08985352516174,1980,0,1,12
"2234",4720,2.17998266220093,1981,0,0,12
"2241",4759,1.79040658473969,1980,0,1,12
"2242",4759,1.8718022108078,1981,0,1,12
"2249",4791,1.96167826652527,1980,0,1,12
"2250",4791,1.65455830097198,1981,0,1,12
"2257",4811,0.732142150402069,1980,0,0,12
"2258",4811,0.976242065429688,1981,0,0,12
"2265",4828,0.988561391830444,1980,0,0,11
"2266",4828,1.50126373767853,1981,0,0,11
"2273",4857,1.13969814777374,1980,0,0,14
"2274",4857,0.750776290893555,1981,0,0,14
"2281",4858,1.28632235527039,1980,0,0,12
"2282",4858,1.64824962615967,1981,0,1,12
"2289",4859,1.32687759399414,1980,0,0,12
"2290",4859,1.06306731700897,1981,0,0,12
"2297",4866,1.69588577747345,1980,0,1,14
"2298",4866,1.81707727909088,1981,0,1,14
"2305",4881,1.37308025360107,1980,0,0,14
"2306",4881,1.5028281211853,1981,0,0,14
"2313",4884,1.57583296298981,1980,0,0,12
"2314",4884,1.57021725177765,1981,0,0,12
"2321",4888,1.46694338321686,1980,0,1,12
"2322",4888,1.43472099304199,1981,0,1,12
"2329",4901,1.16876649856567,1980,0,1,11
"2330",4901,1.22502624988556,1981,0,1,11
"2337",4917,1.199538230896,1980,0,0,12
"2338",4917,0.899249255657196,1981,0,0,12
"2345",4926,1.65202176570892,1980,0,1,12
"2346",4926,1.59613394737244,1981,0,1,12
"2353",4982,0.8883838057518,1980,0,0,9
"2354",4982,1.06919836997986,1981,0,0,9
"2361",5017,1.88637626171112,1980,0,0,13
"2362",5017,2.04872560501099,1981,0,0,13
"2369",5033,1.94877481460571,1980,0,0,12
"2370",5033,2.2014889717102,1981,0,0,12
"2377",5048,0.5101717710495,1980,0,0,11
"2378",5048,1.09611535072327,1981,0,0,11
